lemma	homonym	doc
Alaselkä	PROPN	overlaps more common *Alaselkä* (downback)
Alasin	PROPN	overlaps more common *Alasin* (anvil)
Alava	PROPN	overlaps more common *Alava* (low)
Alavirta	PROPN	overlaps more common *Alavirta* (downstream)
Ale	PROPN	overlaps more common *Ale* (discount)
Ales	PROPN	alternations
Ales	PROPN2	alternations 
Alexis	PROPN	no alternations
Alexis	PROPN2	alternations 
Alfeios	PROPN	no alternations
Alfeios	PROPN2	alternations 
Alfeiós	PROPN	no alternations
Alfeiós	PROPN2	alternations 
Algyogy	PROPN	no alternations
Algyogy	PROPN2	alternations 
Algyógy	PROPN	no alternations
Algyógy	PROPN2	alternations 
Alfa	PROPN	overlaps more common *Alfa* (alpha)
Alhainen	PROPN	overlaps more common *Alhainen* (peasant)
Alimmainen	PROPN	overlaps more common *Alimmainen* (bottommost)
Alkio	PROPN	overlaps more common *Alkio* (unit)
Alku	PROPN	overlaps more common *Alku* (beginning)
Alku	PROPN2	no gradations
Almyropotamos	PROPN	no alternations
Almyropotamos	PROPN2	alternations 
Almyropótamos	PROPN	no alternations
Almyropótamos	PROPN2	alternations 
Alve	PROPN	alternations
Alve	PROPN2	alternations 
Alès	PROPN	alternations
Alès	PROPN2	alternations 
Amárynthos	PROPN	no alternations
Amárynthos	PROPN2	alternations 
Amarynthos	PROPN	no alternations
Amarynthos	PROPN2	alternations 
Amorgos	PROPN	no alternations
Amorgos	PROPN2	alternations 
Ampatinpuhti	PROPN	no alternations
Ampatinpuhti	PROPN2	alternations 
Amyntaio	PROPN	partitives etc.
Amyntaio	PROPN2	partitives etc.
Amýntaio	PROPN	partitives etc.
Amýntaio	PROPN2	partitives etc.
Alla	PROPN	overlaps more common *Alla* (under)
Allekirjoittanut	PROPN	overlaps very common *allekirjoittanut* (signee)
Allianssi	PROPN	overlaps more common *Allianssi* (alliance)
Allikko	PROPN	overlaps more common *Allikko* (ditch)
Allofoni	PROPN	overlaps more common *Allofoni* (allophone)
Alpakka	PROPN	overlaps more common *Alpakka* (alpaca)
Alppi	PROPN	overlaps more common *Alppi* (alp)
Alta	PROPN	overlaps more common *Alta* (under)
Altis	PROPN	overlaps more common *Altis* (prone)
Alun	PROPN	overlaps more common *Alun* (initially)
Alus	PROPN	overlaps more common *Alus* (ship)
Alusvesi	PROPN	overlaps more common *Alusvesi* (underwater)
Ampuja	PROPN	overlaps more common *Ampuja* (shooter)
Ananias	PROPN	alternations
Ananias	PROPN2	alternations 
Andreas	PROPN	alternations
Andreas	PROPN2	alternations 
Andres	PROPN	alternations
Andres	PROPN2	alternations 
Andrew	PROPN	alternations
Andrew	PROPN2	alternations 
Andros	PROPN	no alternations
Andros	PROPN2	alternations 
Angus	PROPN	no alternations
Angus	PROPN2	alternations 
Ansas	PROPN	no alternations
Ansas	PROPN2	alternations 
Antipas	PROPN	no alternations
Antipas	PROPN2	alternations 
Anto	PROPN	no gradations
Anto	PROPN2	gradations 
Aoos	PROPN	no alternations
Aoos	PROPN2	alternations 
Arachthos	PROPN	no alternations
Arachthos	PROPN2	alternations 
Arakelinpuhti	PROPN	no alternations
Arakelinpuhti	PROPN2	alternations 
Archaia Korinthos	PROPN	no alternations
Archaia Korinthos	PROPN2	alternations 
Archangelos	PROPN	no alternations
Archangelos	PROPN2	alternations 
Archángelos	PROPN	no alternations
Archángelos	PROPN2	alternations 
Arcus	PROPN	no alternations
Arcus	PROPN2	alternations 
Argyropoulos	PROPN	no alternations
Argyropoulos	PROPN2	alternations 
Arhe	PROPN	alternations
Arhe	PROPN2	alternations 
Ariste	PROPN	alternations
Ariste	PROPN2	alternations 
Aristoteles	PROPN	alternations
Aristoteles	PROPN2	alternations 
Arkhimedes	PROPN	alternations
Arkhimedes	PROPN2	alternations 
Armas	PROPN	alternations
Armas	PROPN2	alternations 
Arpo	PROPN	gradations
Arpo	PROPN2	no gradations 
Arppe	PROPN	no gradations
Arppe	PROPN2	gradations 
Arras	PROPN	inflects with ’
Arras	PROPN2	inflects with i
Arvydas	PROPN	no alternations
Arvydas	PROPN2	alternations 
Asarias	PROPN	no alternations
Asarias	PROPN2	alternations 
Asos	PROPN	no alternations
Asos	PROPN2	alternations 
Asunta	PROPN	variations
Asunta	PROPN2	variations
Asus	PROPN	no alternations
Asus	PROPN2	alternations 
Atanas	PROPN	no alternations
Atanas	PROPN2	alternations 
Atlas	PROPN	alternations
Atlas	PROPN2	alternations 
Attavyros	PROPN	no alternations
Attavyros	PROPN2	alternations 
Attávyros	PROPN	no alternations
Attávyros	PROPN2	alternations 
Aukeanrimpi	PROPN	no alternations
Aukeanrimpi	PROPN2	alternations 
Aukearimpi	PROPN	no alternations
Aukearimpi	PROPN2	alternations 
Aulanko	PROPN	alternations
Aulanko	PROPN2	no alternations 
Aulis	PROPN	alternations
Aulis	PROPN2	alternations 
Aunee	PROPN	alternations
Aunee	PROPN2	alternations 
Aurora	PROPN	alternations
Aurora	PROPN2	alternations 
Autti	PROPN	alternations
Autti	PROPN2	no alternations 
Autto	PROPN	alternations
Autto	PROPN2	no alternations 
Avis	PROPN	no alternations
Avis	PROPN2	alternations 
Axellus	PROPN	no alternations: *Axellus* : *Axellusin*
Axellus	PROPN2	alternations: *Axellus* : *Axelluksen*
Axios	PROPN	no alternations: *Axios* : *Axiosin*
Axios	PROPN2	alternations: *Axios* : *Axioksen*
Axiós	PROPN	no alternations: *Axiós* : *Axiósin*
Axiós	PROPN2	alternations: *Axiós* : *Axióksen*
Aígeiros	PROPN	no alternations: *Aígeiros* : *Aígeirosin*
Aígeiros	PROPN2	alternations: *Aígeiros* : *Aígeiroksen*
Aígio	PROPN	suffix changes: *Aígio* : *Aígioa*
Aígio	PROPN2	suffix changes: *Aígio* : *Aígiota*
Aínos	PROPN	no alternations: *Aínos* : *Aínosin*
Aínos	PROPN2	alternations: *Aínos* : *Aínoksen*
Aóos	PROPN	no alternations: *Aóos* : *Aóosin*
Aóos	PROPN2	alternations: *Aóos* : *Aóoksen*
Ane	PROPN	overlaps more common *Ane* (donation)
Angervo	PROPN	overlaps more common *Angervo* (flower)
Ani	PROPN	overlaps more common *Ani* (very)
Ankka	PROPN	overlaps more common *Ankka* (duck)
Ankkuri	PROPN	overlaps more common *Ankkuri* (anchor)
Annansilmä	PROPN	overlaps more common *Annansilmä* (flower)
Ansa	PROPN	overlaps more common *Ansa* (trap)
Ansio	PROPN	overlaps more common *Ansio* (profit)
Anto	PROPN	overlaps more common *Anto* (output)
Apaja	PROPN	overlaps more common *Apaja* ()
Ape	PROPN	overlaps more common *Ape* (food)
Apila	PROPN	overlaps more common *Apila* (clover)
Apilanurmi	PROPN	overlaps more common *Apilanurmi* (clovergreen)
Apilas	PROPN	overlaps more common *Apilas* (FIXME)
Apteekki	PROPN	overlaps more common *Apteekki* (pharmacy)
Apuri	PROPN	overlaps more common *Apuri* (helper)
Ara	PROPN	overlaps more common *Ara* (FIXME)
Arkki	PROPN	overlaps more common *Arkki* (ark)
Armas	PROPN	overlaps more common *Armas* (dear)
Armo	PROPN	overlaps more common *Armo* (grace)
Aro	PROPN	overlaps more common *Aro* (grassland)
Arpi	PROPN	overlaps more common *Arpi* (scar)
Arvanheitto	PROPN	overlaps more common *Arvanheitto* (gamble)
Arvio	PROPN	overlaps more common *Arvio* (estimate)
Arvo	PROPN	overlaps more common *Arvo* (value)
As	PROPN	overlaps forms of very common *asia* “thing”, among others
Asema	PROPN	overlaps very common *asema* “station”.
Asento	PROPN	overlaps more common *Asento* (position)
Asi	PROPN	overlaps forms of very common *asia* “thing“
Askar	PROPN	overlaps more common *Askar* (chore)
Askel	PROPN	overlaps more common *Askel* (step)
Aspekti	PROPN	overlaps more common *Aspekti* (aspect)
Asteriski	PROPN	overlaps more common *Asteriski* (asterisk)
Asti	PROPN	overlaps more common adposition *asti* (since)
Asu	PROPN	overlaps more common *Asu* (outfit)
Asuja	PROPN	overlaps more common *Asuja* (tenant)
Asukas	PROPN	overlaps more common *Asukas* (tenant)
Asuma	PROPN	overlaps more common *Asuma* (living)
Asumaton	PROPN	overlaps more common *Asumaton* (unliving)
Asunto	PROPN	overlaps more common *Asunto* (dwelling)
Asuntola	PROPN	overlaps more common *Asuntola* (dormitory)
Asuntomessut	PROPN	overlaps more common *Asuntomessut* (house fare)
Ateenalainen	PROPN	overlaps more common *Ateenalainen* (athenian)
Auki	PROPN	overlaps more common *Auki* (open)
Aukio	PROPN	overlaps more common *Aukio* (square)
Aula	PROPN	overlaps more common *Aula* (lobby)
Aulis	PROPN	overlaps more common *Aulis* (willing)
Auma	PROPN	overlaps more common *Auma* (hip)
Aura	PROPN	overlaps more common *Aura* (aura, plow)
Aurankurki	PROPN	overlaps more common *Aurankurki* (plow crane)
Aurinko	PROPN	overlaps more common *Aurinko* (sun)
Autio	PROPN	overlaps more common *Autio* (desert)
Autiomaa	PROPN	overlaps more common *Autiomaa* (desertlands)
Avara	PROPN	overlaps more common *Avara* (wide open)
Avokallio	PROPN	overlaps more common *Avokallio* (bedrock)
Avomaa	PROPN	overlaps more common *Avomaa* (open lands)
Avonainen	PROPN	overlaps more common *Avonainen* (open)
Avuton	PROPN	overlaps more common *Avuton* (helpless)
BBC	PROPN	British Broadcasting Company
Bertaux	PROPN	inflect with ’: *Bertaux* : *Bertaux’n*
Bertaux	PROPN2	inflect with i: *Bertaux* : *Bertauxin*
Biaudet	PROPN	inflect with ’: *Biaudet* : *Biaudet’n*
Biaudet	PROPN2	inflect with i: *Biaudet* : *Biaudetin*
Bisset	PROPN	inflect with ’: *Bisset* : *Bisset’n*
Bisset	PROPN2	inflect with i: *Bisset* : *Bissetin*
Blois	PROPN	inflect with ’: *Blois* : *Blois’n*
Blois	PROPN2	inflect with i: *Blois* : *Bloisin*
Bo	PROPN	suffixes
Bo	PROPN2	suffixes
Bordeaux	PROPN	inflect with ’: *Bordeaux* : *Bordeaux’n*
Bordeaux	PROPN2	inflect with i: *Bordeaux* : *Bordeauxin*
Botswana	PROPN	suffixes: *Botswana* : *Botswanoja*
Botswana	PROPN2	suffixes: *Botswana* : *Botswanoita
Bouquet	PROPN	inflect with ’: *Bouquet* : *Bouquet’n*
Bouquet	PROPN2	inflect with i: *Bouquet* : *Bouquetin*
Bouret	PROPN	inflect with ’: *Bouret* : *Bouret’n*
Bouret	PROPN2	inflect with i: *Bouret* : *Bouretin*
Bowie	PROPN	suffixes: *Bowie* : *Bowieita*
Bowie	PROPN2	suffixes: *Bowie* : *Bowieja*
Bestseller	PROPN	overlaps more common *Bestseller* (bestseller)
Biomassa	PROPN	overlaps more common *Biomassa* (bio mass)
Biosfääri	PROPN	overlaps more common *Biosfääri* (biosphre)
BMW	PROPN	Bayerische Motor Werkschaft
Boomi	PROPN	overlaps more common *Boomi* (boom)
Burgundi	PROPN	overlaps more common *Burgundi* (burgundy)
Carlos	PROPN	no alternations: *Carlos* : *Carlosin*
Carlos	PROPN2	alternations: *Carlos* : *Carloksen*
Charokopeio	PROPN	suffix changes: *Charokopeio* : *Charokopeioa*
Charokopeio	PROPN2	suffix changes: *Charokopeio* : *Charokopeiota*
Charokópeio	PROPN	suffix changes: *Charokópeio* : *Charokópeioa*
Charokópeio	PROPN2	suffix changes: *Charokópeio* : *Charokópeiota*
Chateauroux	PROPN	inflect with ’: *Chateauroux* : *Chateauroux’n*
Chateauroux	PROPN2	inflect with i: *Chateauroux* : *Chateaurouxin*
Chatsys	PROPN2	no alternations: *Chatsys* : *Chatsysin*
Chatsys	PROPN	alternations: *Chatsys* : *Chatsyksen*
Chátsys	PROPN2	no alternations: *Chátsys* : *Chátsysin*
Chátsys	PROPN	alternations: *Chátsys* : *Chátsyksen*
Chekka	PROPN	no gradations: *Chekka* : *Chekkan*
Chekka	PROPN2	gradations: *Chekka* : *Chekan*
Chelmos	PROPN	no alternations: *Chelmos* : *Chelmosin*
Chelmos	PROPN2	alternations: *Chelmos* : *Chelmoksen*
Chelmós	PROPN	no alternations: *Chelmós* : *Chelmósin*
Chelmós	PROPN2	alternations: *Chelmós* : *Chelmóksen*
Chelsea	PROPN	 alternations: *Chelsea* : *Chelsea*
Chelsea	PROPN2	alternations: *Chelsea* : *Chelsea*
Chios	PROPN	no alternations: *Chios* : *Chiosin*
Chios	PROPN2	alternations: *Chios* : *Chioksen*
Chiós	PROPN	no alternations: *Chiós* : *Chiósin*
Chiós	PROPN2	alternations: *Chiós* : *Chióksen*
Choisy-le-Roi	PROPN	 alternations: *Choisy-le-Roi* : *Choisy-le-Roi*
Choisy-le-Roi	PROPN2	alternations: *Choisy-le-Roi* : *Choisy-le-Roi*
Christos	PROPN	no alternations: *Christos* : *Christosin*
Christos	PROPN2	alternations: *Christos* : *Christoksen*
Christós	PROPN	no alternations: *Christós* : *Christósin*
Christós	PROPN2	alternations: *Christós* : *Christóksen*
Ciegus	PROPN	no alternations: *Ciegus* : *Ciegusin*
Ciegus	PROPN2	alternations: *Ciegus* : *Cieguksen*
Columbus	PROPN	no alternations: *Columbus* : *Columbusin*
Columbus	PROPN2	alternations: *Columbus* : *Columbuksen*
Corus	PROPN	no alternations: *Corus* : *Corusin*
Corus	PROPN2	alternations: *Corus* : *Coruksen*
Cosmopolis	PROPN	no alternations: *Cosmopolis* : *Cosmopolisin*
Cosmopolis	PROPN2	alternations: *Cosmopolis* : *Cosmopoliksen*
Couchoux	PROPN	inflect with ’: *Couchoux* : *Couchoux’n*
Couchoux	PROPN2	inflect with i: *Couchoux* : *Couchouxin*
Demo	PROPN	overlaps more common *Demo* (demo)
Diaspora	PROPN	overlaps more common *Diaspora* (diaspora)
Diesel	PROPN	overlaps more common *Diesel* (diesel)
Dilemma	PROPN	overlaps more common *Dilemma* (dilemma)
Dingo	PROPN	overlaps more common *Dingo* (dingo)
Dipoli	PROPN	overlaps more common *Dipoli* (dipole)
Dominikaaninen	PROPN	overlaps more common *Dominikaaninen* (FIXME)
Dumppi	PROPN	overlaps more common *Dumppi* (dump)
Ebola	PROPN	overlaps more common *Ebola* (ebola)
Ede	PROPN	overlaps forms of very common *edellä* “front, etc.
EEC	PROPN	European Economy Council
Ego	PROPN	overlaps more common *Ego* (ego)
Ehto	PROPN	overlaps more common *Ehto* (condition)
Eine	PROPN	overlaps more common *Eine* (foodstuff)
EKP	PROPN	Euroopan Keskus-Pankki
Eksymä	PROPN	overlaps more common *Eksymä* (lost)
Ele	PROPN	overlaps more common *Ele* (gesture)
Elefantti	PROPN	overlaps more common *Elefantti* (elephant)
Eli	PROPN	overlaps more common *Eli* (therefore)
Elin	PROPN	overlaps more common *Elin* (organ)
Elo	PROPN	overlaps more common *Elo* (crop)
Elokuva-arkisto	PROPN	overlaps more common *Elokuva-arkisto* (movie archive)
Elopelto	PROPN	overlaps more common *Elopelto* (crop field)
Eläinpuisto	PROPN	overlaps more common *Eläinpuisto* (zoo)
Eläintarha	PROPN	overlaps more common *Eläintarha* (zoo)
Elätti	PROPN	overlaps more common *Elätti* (dependent)
Emakko	PROPN	overlaps more common *Emakko* (female pig)
Emo	PROPN	overlaps more common *Emo* (mother)
Emonen	PROPN	overlaps more common *Emonen* (motherling)
Emu	PROPN	overlaps more common *Emu* (emu)
Emäjoki	PROPN	overlaps more common *Emäjoki* (mother river)
Emäntä	PROPN	overlaps more common *Emäntä* (wifey)
Enkeli	PROPN	overlaps more common *Enkeli* (angel)
Ennakko	PROPN	overlaps more common *Ennakko* (advance)
Enne	PROPN	overlaps more common *Enne* (premonition)
Eno	PROPN	overlaps more common *Eno* (uncle)
Ensi	PROPN	overlaps more common *Ensi* (first)
Erakko	PROPN	overlaps more common *Erakko* (hermit)
Erikoinen	PROPN	overlaps more common *Erikoinen* (special)
Erinomainen	PROPN	overlaps very common *erinomainen* “excellent”.
Erä	PROPN	overlaps very common *erä* “round, lap”
Erämaa	PROPN	overlaps more common *Erämaa* (desert)
Esikko	PROPN	overlaps more common *Esikko* (first one)
Este	PROPN	overlaps more common *Este* (hurdle)
Etana	PROPN	overlaps more common *Etana* (snail)
Etappi	PROPN	overlaps more common *Etappi* (waypoint)
Eteinen	PROPN	overlaps more common *Eteinen* (hallway)
Etelä	PROPN	overlaps more common *Etelä* (south)
Eteläinen	PROPN	overlaps more common *Eteläinen* (southern)
Eteläkärki	PROPN	overlaps more common *Eteläkärki* (south tip)
Etelämaa	PROPN	overlaps more common *Etelämaa* (southlands)
Eteläpuoli	PROPN	overlaps more common *Eteläpuoli* (southside)
Etelärinne	PROPN	overlaps more common *Etelärinne* (south hill)
Etiäinen	PROPN	overlaps more common *Etiäinen* (premonition)
Etumaa	PROPN	overlaps more common *Etumaa* (frontier)
Etupää	PROPN	overlaps more common *Etupää* (front head)
Etuselkä	PROPN	overlaps more common *Etuselkä* (front back)
ETY	PROPN	Euroopan Turvallisuus-Yhteisö
EU	PROPN	Euroopan Unioni
Euro	PROPN	overlaps more common *Euro* (euro)
Eurooppa	PROPN	Europe, as proper noun for geographical area
Euroviisu	PROPN	overlaps more common *Euroviisu* (eurovision)
Evakko	PROPN	overlaps more common *Evakko* (immigrant)
EY	PROPN	Euroopan Yhteisö
Fan	PROPN	overlaps more common *Fan* (fan)
Farmi	PROPN	overlaps more common *Farmi* (farm)
Fatima	PROPN	overlaps more common *Fatima* (fatima)
FBI	PROPN	Federal Bureau of Investigation
FIFA	PROPN	Football Assoc.
Finni	PROPN	overlaps more common *Finni* (pimple)
Fobia	PROPN	overlaps more common *Fobia* (fobia)
Fokus	PROPN	overlaps more common *Fokus* (focus)
Fryygia	PROPN	overlaps more common *Fryygia* (fryygia)
FTP	PROPN	File Transfer Protocol
GM	PROPN	General Motors
Gouda	PROPN	overlaps more common *Gouda* (gouda)
Guinea	PROPN	overlaps more common *Guinea* (guinea)
Ha	PROPN	overlaps more common *Ha* (ha)
Haahka	PROPN	overlaps more common *Haahka* (owl)
Haahti	PROPN	overlaps more common *Haahti* (shipwreck)
Haaksi	PROPN	overlaps more common *Haaksi* (shipwreck)
Haapa	PROPN	overlaps more common *Haapa* (tree)
Haapainen	PROPN	overlaps more common *Haapainen* (treey)
Haara	PROPN	overlaps more common *Haara* (crotch)
Haarikko	PROPN	overlaps more common *Haarikko* (FIXME)
Haarukka	PROPN	overlaps more common *Haarukka* (fork)
Haaska	PROPN	overlaps more common *Haaska* (corpse)
Haavainen	PROPN	overlaps more common *Haavainen* (wounded)
Habitus	PROPN	overlaps more common *Habitus* (habitus)
Hahmo	PROPN	overlaps more common *Hahmo* (pattern)
Hai	PROPN	overlaps more common *Hai* (shark)
Haikala	PROPN	overlaps more common *Haikala* (sharkfish)
Haikara	PROPN	overlaps more common *Haikara* (bird)
Hailakka	PROPN	overlaps more common *Hailakka* (pale)
Haiseva	PROPN	overlaps more common *Haiseva* (smelly)
Haisu	PROPN	overlaps more common *Haisu* (smell)
Haitta	PROPN	overlaps more common *Haitta* (har,)
Haka	PROPN	overlaps more common *Haka* (FIXME)
Hakamaa	PROPN	overlaps more common *Hakamaa* (FIXME)
Hakanen	PROPN	overlaps more common *Hakanen* (FIXME)
Hakattu	PROPN	overlaps more common *Hakattu* (beaten)
Hakkuri	PROPN	overlaps more common *Hakkuri* (FIXME)
Hakkuu	PROPN	overlaps very common *hakkuu* “felling of trees“
Hakkuu	PROPN	overlaps very common *hakkuu* “felling of trees”
Hakkuu	PROPN	overlaps more common *Hakkuu* (FIXME)
Hakkuuaukea	PROPN	overlaps more common *Hakkuuaukea* (FIXME)
Hako	PROPN	overlaps more common *Hako* (FIXME)
Haljakka	PROPN	overlaps more common *Haljakka* (FIXME)
Halju	PROPN	overlaps more common *Halju* (FIXME)
Halkaisija	PROPN	overlaps more common *Halkaisija* (diameter)
Halkinainen	PROPN	overlaps more common *Halkinainen* (split)
Halkio	PROPN	overlaps more common *Halkio* (FIXME)
Halko	PROPN	overlaps more common *Halko* (log)
Halla	PROPN	overlaps more common *Halla* (frost)
Hallanpesä	PROPN	overlaps more common *Hallanpesä* (FIXME)
Hallanvaara	PROPN	overlaps more common *Hallanvaara* (frost warning)
Halli	PROPN	overlaps more common *Halli* (fox)
Hallittu	PROPN	overlaps more common *Hallittu* (guided)
Haltia	PROPN	overlaps more common *Haltia* (elf)
Haltio	PROPN	overlaps more common *Haltio* (FIXME)
Halunen	PROPN	overlaps forms of very common *halu* “will”.
Halva	PROPN	overlaps more common *Halva* (halva)
Hamara	PROPN	overlaps more common *Hamara* (blunt side)
Hammas	PROPN	overlaps more common *Hammas* (teeth)
Hamppu	PROPN	overlaps more common *Hamppu* (hemp)
Hanhi	PROPN	overlaps more common *Hanhi* (goose)
Hani	PROPN	overlaps more common *Hani* (honey)
Hanka	PROPN	overlaps more common *Hanka* (crotch)
Hankala	PROPN	overlaps more common *Hankala* (difficult)
Hanko	PROPN	overlaps more common *Hanko* (pitchfork)
Hansaliitto	PROPN	overlaps more common *Hansaliitto* (FIXME)
Hanska	PROPN	overlaps very common *hanska* “glove“.
Hanska	PROPN	overlaps very common *hanska* “glove”.
Hanska	PROPN	overlaps more common *Hanska* (glove)
Hantti	PROPN	overlaps more common *Hantti* (FIXME)
Happo	PROPN	overlaps more common *Happo* (acid)
Harakka	PROPN	overlaps more common *Harakka* (crow)
Harha	PROPN	overlaps more common *Harha* (delusion)
Harja	PROPN	overlaps more common *Harja* (brush)
Harjakivi	PROPN	overlaps more common *Harjakivi* (brush stone)
Harjanne	PROPN	overlaps more common *Harjanne* (FIXME)
Harju	PROPN	overlaps more common *Harju* (FIXME)
Harjus	PROPN	overlaps more common *Harjus* (FIXME)
Harkko	PROPN	overlaps more common *Harkko* (bar)
Harmaa	PROPN	overlaps more common *Harmaa* (gray)
Harmaakivi	PROPN	overlaps more common *Harmaakivi* (gray stone)
Harmaapää	PROPN	overlaps more common *Harmaapää* (gray head)
Harmi	PROPN	overlaps more common *Harmi* (harm)
Harppu	PROPN	overlaps more common *Harppu* (harp)
Harras	PROPN	overlaps more common *Harras* (devout)
Harso	PROPN	overlaps more common *Harso* (shroud)
Harsu	PROPN	overlaps more common *Harsu* (FIXME)
Harva	PROPN	overlaps more common *Harva* (few)
