lemma	new_para	stem-vowel
Berezó	N_ESQUIMAU	o
Berkeley	N_JOCKEY	i
Berkshire Hathaway	N_GAY	i
Best Buy	N_COWBOY	i
Beyoncé	N_ROSÉ	e
Bilgoraj	N_VERSAILLES	i
Bisset	N_BEIGNET	e
Bissorã	N_CHACHACHA	a
Bjerringbro	N_KUNGFU	u
Blatná	N_CHACHACHA	a
Blois	N_NOUGAT	a
Bobigny	N_SPOTIFY	i
Bodo	N_MALMÖ	ö
Bodø	N_MALMÖ	ö
Bogotá	N_CHACHACHA	a
Bohušovice nad Ohří	N_BRASSERIE	i
Boké	N_ROSÉ	e
Bombay	N_GAY	i
bordeaux	N_BORDEAUX	o
Bordeaux	N_BORDEAUX	o
Borosjenő	N_MALMÖ	ö
Bossembélé	N_ROSÉ	e
Bouaflé	N_ROSÉ	e
Bouaké	N_ROSÉ	e
Bougé	N_ROSÉ	e
Boukoumbé	N_ROSÉ	e
bouquet	N_PARFAIT	e
Boussé	N_ROSÉ	e
Bowie	N_BRASSERIE	i
Brandýs nad Orlicí	N_BRASSERIE	i
Brassó	N_ESQUIMAU	o
Březová	N_CHACHACHA	a
Břidličná	N_CHACHACHA	a
Brightlingsea	N_JOCKEY	i
Britney	N_JOCKEY	i
Broken Arrow	N_SHOW	u
Budyně nad Ohří	N_BRASSERIE	i
buffet	N_PARFAIT	e
Bulkeley	N_JOCKEY	i
Bunkyō	N_ESQUIMAU	o
Bureau International Permanent de la Paix	N_PARFAIT	e
Burley	N_JOCKEY	i
Burnie	N_BRASSERIE	i
Busko-Zdrój	N_BEIGNET	i
Busko-Zdroj	N_VERSAILLES	i
Buziásfürdő	N_MALMÖ	ö
Bystré	N_BÉBÉ	e
Cadaley	N_JOCKEY	i
Camaguey	N_JOCKEY	i
Camagüey	N_JOCKEY	i
Cambay	N_GAY	i
Cape Girardeau	N_ESQUIMAU	o
Capetí	N_BRASSERIE	i
Cap-Santé	N_ROSÉ	e
Carey	N_JOCKEY	i
Carlow	N_SHOW	u
Catió	N_ESQUIMAU	o
Cativá	N_CHACHACHA	a
Cergy	N_SPOTIFY	i
Certify	N_SPOTIFY	i
Česká Třebová	N_CHACHACHA	a
Chalkidikí	N_BRASSERIE	i
Chambery	N_SPOTIFY	i
Chambéry	N_SPOTIFY	i
Chamilí	N_BRASSERIE	i
Chaniá	N_CHACHACHA	a
Charavgí	N_BRASSERIE	i
Charlotte Amalie	N_BRASSERIE	i
Charopó	N_ESQUIMAU	o
Chateauguay	N_BÉBÉ	e
Châteauguay	N_BÉBÉ	e
Chateauroux	N_SHOW	u
Châteauroux	N_SHOW	u
Chateau-Thierry	N_SPOTIFY	i
Château-Thierry	N_SPOTIFY	i
Chelsea	N_JOCKEY	i
Chigoré	N_ROSÉ	e
Chiryū	N_KUNGFU	u
Chitré	N_BÉBÉ	e
Chlomó	N_ESQUIMAU	o
Choisy-le-Roi	N_CHACHACHA	a
Choristí	N_BRASSERIE	i
Chrysí	N_BRIE	i
Chrysó	N_ESQUIMAU	o
Chūō	N_ESQUIMAU	o
Chuy	N_COWBOY	i
CIBE Participação	N_KUNGFU	u
Cluny	N_SPOTIFY	i
Concepcion del Uruguay	N_GAY	i
Concepción del Uruguay	N_GAY	i
Cool Blue	N_KUNGFU	u
Cotuí	N_BRASSERIE	i
Courtenay	N_GAY	i
Cové	N_ROSÉ	e
Covilhã	N_CHACHACHA	a
Cruz Bay	N_BEIGNET	i
Cuiabá	N_CHACHACHA	a
Cumaná	N_CHACHACHA	a
Curuzú Cuatiá	N_CHACHACHA	a
Daitō	N_ESQUIMAU	o
Dallapé	N_ROSÉ	e
Danané	N_ROSÉ	e
Danlí	N_BRASSERIE	i
Dassa-Zoumé	N_ROSÉ	e
Dej	N_BEIGNET	i
Delfoí	N_COWBOY	i
Dennery	N_SPOTIFY	i
Development Assistance Committee	N_JOCKEY	i
Dickenson Bay	N_BEIGNET	i
Discovery Bay	N_BEIGNET	i
Divalá	N_CHACHACHA	a
Djenné	N_BÉBÉ	e
Doboj	N_VERSAILLES	i
Dobšiná	N_CHACHACHA	a
Douai	N_ROSÉ	e
drag show	N_SHOW	u
Dreux	N_MONSIEUR	ö
Dubá	N_CHACHACHA	a
Dubí	N_BRASSERIE	i
Durbuy	N_COWBOY	i
Duszniki-Zdrój	N_BEIGNET	i
Duszniki-Zdroj	N_VERSAILLES	i
Eat and Joy	N_COWBOY	i
EBay	N_GAY	i
El Copé	N_ROSÉ	e
El Espavé	N_ROSÉ	e
Erateiní	N_BRASSERIE	i
Erie	N_BRIE	i
Estelí	N_BRIE	i
Evreux	N_MONSIEUR	ö
Évreux	N_MONSIEUR	ö
Evry	N_SPOTIFY	i
Évry	N_SPOTIFY	i
Exochí	N_BRASSERIE	i
Falsterbo	N_KUNGFU	u
Fatboy	N_COWBOY	i
Felsővisó	N_ESQUIMAU	o
Fernie	N_BRIE	i
Fernley	N_JOCKEY	i
Firminy	N_SPOTIFY	i
First Fellow	N_SHOW	u
Five Below	N_SHOW	u
floor show	N_SHOW	u
Floro	N_MALMÖ	ö
Florø	N_MALMÖ	ö
Foix	N_NOUGAT	a
Fontainebleau	N_ESQUIMAU	o
Forlì	N_BRASSERIE	i
Fourná	N_CHACHACHA	a
Franche-Comté	N_ROSÉ	e
Frýdlant nad Ostravicí	N_BRASSERIE	i
Frý	N_FONDUE	y
Fuchū	N_KUNGFU	u
Fundao	N_KUNGFU	u
Fundão	N_KUNGFU	u
Gabiley	N_JOCKEY	i
Gabú	N_KUNGFU	u
Gafanha da Nazaré	N_ROSÉ	e
Gahperuslátnjá	N_CHACHACHA	a
Galway	N_GAY	i
Ganvie	N_BRASSERIE	i
Garachiné	N_ROSÉ	e
Garbahaarreey	N_JOCKEY	i
Gariché	N_ROSÉ	e
Gaspé	N_ROSÉ	e
Gatineau	N_ESQUIMAU	o
Gerakiní	N_BRASSERIE	i
Glasgow	N_SHOW	u
Glykí	N_BRIE	i
Gojō	N_ESQUIMAU	o
Golden Rax Pizzabuffet	N_PARFAIT	e
gourmet	N_PARFAIT	e
Grande Prairie	N_BRASSERIE	i
Graulhet	N_PARFAIT	e
Gravataí	N_GAY	i
Green Bay	N_BEIGNET	i
Gualeguay	N_GAY	i
Guararé	N_ROSÉ	e
Guarujá	N_CHACHACHA	a
Gyalí	N_BRASSERIE	i
Gympie	N_BRIE	i
Gyurgyevó	N_ESQUIMAU	o
Gyömrő	N_MALMÖ	ö
Gödöllő	N_MALMÖ	ö
Haguenau	N_ESQUIMAU	o
HahkaWay	N_GAY	i
Hajdúszoboszló	N_ESQUIMAU	o
Handlová	N_CHACHACHA	a
Harló	N_ESQUIMAU	o
Haute-Normandie	N_BRASSERIE	i
Herkulesfürdő	N_MALMÖ	ö
Hervey Bay	N_BEIGNET	i
Hi Fly	N_SPOTIFY	i
Higuey	N_JOCKEY	i
Higüey	N_JOCKEY	i
Hjo	N_KUNGFU	u
Hobro	N_KUNGFU	u
Holstebro	N_KUNGFU	u
Homa Bay	N_GAY	i
Honoré	N_ROSÉ	e
Horní Planá	N_CHACHACHA	a
Hosszúmező	N_MALMÖ	ö
Hostinné	N_ROSÉ	e
Houndé	N_ROSÉ	e
Hradec Králové	N_ROSÉ	e
Hradec nad Moravicí	N_BRASSERIE	i
Hriňová	N_CHACHACHA	a
Hué	N_ROSÉ	e
Humenné	N_ROSÉ	e
Ibagué	N_ROSÉ	e
Icantí	N_BRASSERIE	i
Igló	N_ESQUIMAU	o
Indiegogo	N_KUNGFU	u
Interogo	N_KUNGFU	u
Iónia Nisiá	N_CHACHACHA	a
Ipetí	N_BRIE	i
Itaboraí	N_GAY	i
Ivanovice na Hané	N_ROSÉ	e
Iwonicz-Zdrój	N_BEIGNET	i
Iwonicz-Zdroj	N_VERSAILLES	i
Jablonné nad Orlicí	N_BRASSERIE	i
Jablonné v Podještědí	N_BRASSERIE	i
Jacareí	N_JOCKEY	i
Jaqué	N_ROSÉ	e
Jastrzębie-Zdrój	N_BEIGNET	i
Jastrzebie-Zdroj	N_VERSAILLES	i
Jedlina-Zdrój	N_BEIGNET	i
Jedlina-Zdroj	N_VERSAILLES	i
Jeremie	N_BRIE	i
JetBlue	N_KUNGFU	u
Jílové	N_ROSÉ	e
Josō	N_ESQUIMAU	o
Joünié	N_BÉBÉ	e
Jōyō	N_ESQUIMAU	o
Jundiaí	N_GAY	i
Juneau	N_ESQUIMAU	o
jääshow	N_SHOW	u
Kaélé	N_ROSÉ	e
Kakaviá	N_CHACHACHA	a
Kalamariá	N_CHACHACHA	a
Kalgoorlie	N_BRASSERIE	i
Kalianoí	N_COWBOY	i
Kaló Chorió	N_ESQUIMAU	o
Kandé	N_ROSÉ	e
Karácsonkő	N_MALMÖ	ö
Karkaloú	N_KUNGFU	u
Karviná	N_CHACHACHA	a
Karyá	N_CHACHACHA	a
Kastrosykiá	N_CHACHACHA	a
Katochí	N_BRASSERIE	i
Káto Makrinoú	N_KUNGFU	u
Káto Vrontoú	N_KUNGFU	u
Kattaviá	N_CHACHACHA	a
Kékkő	N_MALMÖ	ö
Kelmė	N_BÉBÉ	e
Kemira GrowHow	N_SHOW	u
Khoy	N_COWBOY	i
Killarney	N_JOCKEY	i
Kimberley	N_JOCKEY	i
Kiryū	N_KUNGFU	u
Kisjenő	N_MALMÖ	ö
Kitakyūshū	N_KUNGFU	u
Klášterec nad Ohří	N_BRASSERIE	i
Kleidí	N_BRIE	i
know-how	N_SHOW	u
Kólpos Ierissoú	N_KUNGFU	u
Kólpos Orfanoú	N_KUNGFU	u
Komló	N_ESQUIMAU	o
Kordkuy	N_COWBOY	i
Koskinoú	N_KUNGFU	u
Kostakioí	N_COWBOY	i
Kostelec nad Orlicí	N_BRASSERIE	i
Kostelec na Hané	N_ROSÉ	e
Kōtō	N_ESQUIMAU	o
Kouandé	N_ROSÉ	e
Kouklioí	N_COWBOY	i
Kragero	N_MALMÖ	ö
Kragerø	N_MALMÖ	ö
Krasznó	N_ESQUIMAU	o
Krystalopigí	N_BRASSERIE	i
Kudowa Zdrój	N_BEIGNET	i
Kudowa Zdroj	N_VERSAILLES	i
Kunoy	N_COWBOY	i
Kyabé	N_ROSÉ	e
Kyllikee	N_JOCKEY	i
Kynšperk nad Ohří	N_BRASSERIE	i
Kyrá Panagiá	N_CHACHACHA	a
Labé	N_ROSÉ	e
Lachaniá	N_CHACHACHA	a
Lądek-Zdrój	N_BEIGNET	i
Ladek-Zdroj	N_VERSAILLES	i
Laï	N_GAY	i
La Malbaie	N_BRASSERIE	i
Lambaréné	N_ROSÉ	e
Langley	N_JOCKEY	i
La Prairie	N_BRASSERIE	i
Laramie	N_BRASSERIE	i
Latrebo Valley	N_JOCKEY	i
Lavaltrie	N_BRASSERIE	i
lavashow	N_SHOW	u
Le Bon Marché	N_ROSÉ	e
Lechainá	N_CHACHACHA	a
Leipsoí	N_COWBOY	i
Lemmikee	N_JOCKEY	i
Lepenoú	N_KUNGFU	u
L’Epiphanie	N_BRASSERIE	i
L’Épiphanie	N_BRASSERIE	i
Leptokaryá	N_CHACHACHA	a
Le Puy-en-Velay	N_GAY	i
Léré	N_BÉBÉ	e
Let’s Powwow	N_SHOW	u
LG Display	N_GAY	i
L’Ile-Cadieux	N_MONSIEUR	ö
L’Île-Cadieux	N_MONSIEUR	ö
L’Ile-Perrot	N_BORDEAUX	o
L’Île-Perrot	N_BORDEAUX	o
Limbé	N_BÉBÉ	e
Límni Pineioú	N_KUNGFU	u
Límni Tavropoú	N_KUNGFU	u
Límni Voulkariá	N_CHACHACHA	a
Linné	N_BÉBÉ	e
Livvadievát	N_LIVVADIEVÁT	a
Lomé	N_ROSÉ	e
Lomié	N_ROSÉ	e
Lomnice nad Lužnicí	N_BRASSERIE	i
Longview	N_SHOW	u
Loulé	N_ROSÉ	e
Loutrá Aidipsoú	N_KUNGFU	u
Loutrá	N_CHACHACHA	a
Lucknow	N_SHOW	u
Lugoj	N_VERSAILLES	i
Lycksalighetens Ö	N_MALMÖ	ö
Lyckå	N_ESQUIMAU	o
Lykoporiá	N_CHACHACHA	a
Macapá	N_CHACHACHA	a
Maceió	N_ESQUIMAU	o
Mackay	N_BEIGNET	i
Magé	N_ROSÉ	e
Maglaj	N_VERSAILLES	i
Makó	N_ESQUIMAU	o
Malaybalay	N_GAY	i
Malé	N_ROSÉ	e
Mandalay	N_GAY	i
Marabá	N_CHACHACHA	a
Maracay	N_GAY	i
Marahoué	N_ROSÉ	e
Maribo	N_KUNGFU	u
Marijampolė	N_ROSÉ	e
Maringá	N_CHACHACHA	a
Marley	N_JOCKEY	i
Mataró	N_ESQUIMAU	o
Mauá	N_CHACHACHA	a
Mbamba Bay	N_GAY	i
Megálo Chorió	N_ESQUIMAU	o
Memaliaj	N_VERSAILLES	i
Městec Králové	N_ROSÉ	e
Metabetchouan-Lac-a-la-Croix	N_NOUGAT	a
Métabetchouan–Lac-à-la-Croix	N_NOUGAT	a
Metairie	N_BRASSERIE	i
Metetí	N_BRIE	i
Meziboří	N_BRASSERIE	i
Meziměstí	N_BRIE	i
Midi-Pyrénées	N_BEIGNET	e
Miley	N_JOCKEY	i
Millau	N_ESQUIMAU	o
Milltown Malbay	N_BEIGNET	i
Mīnā’ Jabal ’Alī	N_BRASSERIE	i
Minō	N_ESQUIMAU	o
Miró	N_ESQUIMAU	o
Mole Saint-Nicolas	N_NOUGAT	a
Monet	N_PARFAIT	e
Monkey Bay	N_GAY	i
Monroe	N_KUNGFU	u
monsieur	N_MONSIEUR	ö
Montego Bay	N_BEIGNET	i
Monterrey	N_JOCKEY	i
Monthey	N_JOCKEY	i
Montreux	N_MONSIEUR	ö
Moose Jaw	N_BORDEAUX	o
Morant Bay	N_BEIGNET	i
Moravská Třebová	N_CHACHACHA	a
Morgan Stanley	N_JOCKEY	i
Mortí	N_BRASSERIE	i
Moscow	N_SHOW	u
Mossoró	N_ESQUIMAU	o
Mukō	N_ESQUIMAU	o
Muncie	N_BRASSERIE	i
muotishow	N_SHOW	u
Måloy	N_COWBOY	i
Måløy	N_GAY	i
Nagaokakyō	N_ESQUIMAU	o
Nagykálló	N_ESQUIMAU	o
Námesztó	N_ESQUIMAU	o
Nancy	N_SPOTIFY	i
Naujoji Akmenė	N_ROSÉ	e
Néa Moudaniá	N_CHACHACHA	a
Nemenčinė	N_BÉBÉ	e
Nemsó	N_ESQUIMAU	o
Nemšová	N_CHACHACHA	a
Nestlé	N_BÉBÉ	e
Nexo	N_MALMÖ	ö
Nexø	N_MALMÖ	ö
Ngaoundéré	N_ROSÉ	e
Niamey	N_JOCKEY	i
Niccolò	N_ESQUIMAU	o
Nieuw Nickerie	N_BRIE	i
Nikkō	N_ESQUIMAU	o
Nishitōkyō	N_ESQUIMAU	o
Nivå	N_ESQUIMAU	o
Nolsoy	N_COWBOY	i
Nólsoy	N_COWBOY	i
Nord-Pas-de-Calais	N_PARFAIT	e
North Bay	N_GAY	i
Notre-Dame-de-l’Ile-Perrot	N_BORDEAUX	o
Notre-Dame-de-l’Île-Perrot	N_BORDEAUX	o
Notsé	N_ROSÉ	e
Nové Město nad Metují	N_BRASSERIE	i
Nové Strašecí	N_BRASSERIE	i
Nuevo Guararé	N_ROSÉ	e
Nyárádtő	N_MALMÖ	ö
Nyaung-U	N_KUNGFU	u
Nybro	N_KUNGFU	u
Nzérékoré	N_ROSÉ	e
Obopay	N_GAY	i
Ochtoniá	N_CHACHACHA	a
Ocumare del Tuy	N_COWBOY	i
Odienné	N_ROSÉ	e
Olá	N_CHACHACHA	a
Olhao	N_KUNGFU	u
Olhão	N_KUNGFU	u
Ólubló	N_ESQUIMAU	o
Oreiní	N_BRASSERIE	i
Oreoí	N_COWBOY	i
Orlová	N_CHACHACHA	a
Őrmező	N_MALMÖ	ö
Órmos Almiroú	N_KUNGFU	u
Oudomxay	N_GAY	i
Pabradė	N_ROSÉ	e
Pachiá	N_CHACHACHA	a
Palimé	N_ROSÉ	e
Paliouriá	N_CHACHACHA	a
Panaitolikó	N_ESQUIMAU	o
Panemunė	N_ROSÉ	e
Paraguaná	N_CHACHACHA	a
Paraguay	N_GAY	i
Paramythiá	N_CHACHACHA	a
Paraná	N_CHACHACHA	a
parfait	N_PARFAIT	e
Pasay	N_GAY	i
passepartout	N_SHOW	u
Pásztó	N_ESQUIMAU	o
Pau	N_ESQUIMAU	o
Paxoí	N_COWBOY	i
Penonomé	N_ROSÉ	e
Percé	N_BÉBÉ	e
Perigueux	N_MONSIEUR	ö
Périgueux	N_MONSIEUR	ö
Pesé	N_BÉBÉ	e
Peterborough	N_SHOW	u
Picardie	N_BRASSERIE	i
Piper Jaffray	N_GAY	i
Pirate Bay	N_GAY	i
Planá nad Lužnicí	N_BRASSERIE	i
Planá	N_CHACHACHA	a
Platý	N_FONDUE	y
Plesná	N_CHACHACHA	a
Plungė	N_ROSÉ	e
Pocrí	N_BRASSERIE	i
Polanica-Zdrój	N_BEIGNET	i
Polanica-Zdroj	N_VERSAILLES	i
Połczyn-Zdrój	N_BEIGNET	i
Polczyn-Zdroj	N_VERSAILLES	i
Police nad Metují	N_BRASSERIE	i
Polná	N_CHACHACHA	a
Pô	N_ESQUIMAU	o
Portage la Prairie	N_BRASSERIE	i
Portimao	N_KUNGFU	u
Portimão	N_KUNGFU	u
Port Macquarie	N_BRASSERIE	i
Port Pirie	N_BRIE	i
port salut	N_SHOW	u
Potamoí	N_COWBOY	i
Potosí	N_BRASSERIE	i
Poughkeepsie	N_BRASSERIE	i
Praesto	N_MALMÖ	ö
Priekulė	N_ROSÉ	e
Privas	N_NOUGAT	a
Prix	N_BEIGNET	i
Proview	N_SHOW	u
Præstø	N_MALMÖ	ö
Psará	N_CHACHACHA	a
Ptuj	N_VERSAILLES	i
Puerto San José	N_ROSÉ	e
Puhó	N_ESQUIMAU	o
Pyxariá	N_CHACHACHA	a
Qoryoley	N_JOCKEY	i
Qostanay	N_GAY	i
Quibdó	N_ESQUIMAU	o
Rafaï	N_GAY	i
ragoût	N_SHOW	u
Rajecfürdő	N_MALMÖ	ö
Rájec-Jestřebí	N_BRIE	i
ravintolashow	N_SHOW	u
Ray	N_GAY	i
Redknee	N_JOCKEY	i
Réo Sanguié	N_ROSÉ	e
Robert´s Coffee	N_JOCKEY	i
Rodez	N_PARFAIT	e
Roseau	N_ESQUIMAU	o
rosé	N_ROSÉ	e
Roubaix	N_PARFAIT	e
Rovo Bay	N_GAY	i
Rozsnyó	N_ESQUIMAU	o
Rtyně v Podkrkonoší	N_BRASSERIE	i
Rudná	N_CHACHACHA	a
Runway	N_GAY	i
Rwdniy	N_SPOTIFY	i
Rye	N_BRIE	i
Sadská	N_CHACHACHA	a
Safeway	N_GAY	i
Sagay	N_GAY	i
Saginaw	N_BORDEAUX	o
Saguenay	N_GAY	i
Sainte-Anne-de-Beaupré	N_ROSÉ	e
Sainte-Julie	N_BRASSERIE	i
Sainte-Marie	N_BRASSERIE	i
Saint-Lô	N_ESQUIMAU	o
Saint-Pie	N_BRIE	i
Saint-Tropez	N_PARFAIT	e
Sakété	N_ROSÉ	e
Salè	N_ROSÉ	e
San Jose del Bocay	N_GAY	i
San José del Bocay	N_GAY	i
San Luis Potosí	N_BRASSERIE	i
Santa Comba Dao	N_KUNGFU	u
Santa Comba Dão	N_KUNGFU	u
Santa Cruz del Quiché	N_ROSÉ	e
Santa Fé	N_BÉBÉ	e
Santo André	N_ROSÉ	e
San Tomé	N_ROSÉ	e
Santo Tomé	N_ROSÉ	e
São José	N_ROSÉ	e
São Tomé	N_ROSÉ	e
Sault Ste. Marie	N_BRASSERIE	i
Savé	N_ROSÉ	e
SEK & Grey	N_JOCKEY	i
Semey	N_JOCKEY	i
Sezimovo Ústí	N_BRIE	i
Shaw	N_BORDEAUX	o
Shikokuchūō	N_ESQUIMAU	o
show	N_SHOW	u
Shutterfly	N_SPOTIFY	i
Šilalė	N_ROSÉ	e
Silay	N_GAY	i
Šilutė	N_ROSÉ	e
sioux	N_SHOW	u
Sipalay	N_GAY	i
Skála Eresoú	N_KUNGFU	u
Skála Oropoú	N_KUNGFU	u
Skalná	N_CHACHACHA	a
Skaudvilė	N_ROSÉ	e
Skellefteå	N_ESQUIMAU	o
Skuvoy	N_COWBOY	i
Skúvoy	N_COWBOY	i
Slaughter and May	N_GAY	i
Sokodé	N_ROSÉ	e
Sollefteå	N_ESQUIMAU	o
Solvay	N_GAY	i
Soro	N_MALMÖ	ö
Sortová	N_CHACHACHA	a
Sorø	N_MALMÖ	ö
Souflí	N_BRASSERIE	i
Southsea	N_JOCKEY	i
Spálené Poříčí	N_BRASSERIE	i
Spišská Belá	N_CHACHACHA	a
Spotify	N_SPOTIFY	i
Stará Turá	N_CHACHACHA	a
Štětí	N_BRIE	i
Stewarts Law	N_BORDEAUX	o
Strofyliá	N_CHACHACHA	a
Strymonikó	N_ESQUIMAU	o
Stubnyafürdő	N_MALMÖ	ö
Subway	N_GAY	i
Sulphur Bay	N_GAY	i
Sumaré	N_ROSÉ	e
Sun on Sunday	N_GAY	i
Surrey	N_JOCKEY	i
Swansea	N_JOCKEY	i
Sweeting Cay	N_BEIGNET	i
Świeradów-Zdrój	N_BEIGNET	i
Swieradow-Zdroj	N_VERSAILLES	i
Sw	N_SHOW	u
Sydney	N_JOCKEY	i
Sykiá	N_CHACHACHA	a
Sykí	N_BRIE	i
Szczawno-Zdrój	N_BEIGNET	i
Szczawno-Zdroj	N_VERSAILLES	i
Szilágysomlyó	N_ESQUIMAU	o
Sztropkó	N_ESQUIMAU	o
Tacuarembó	N_ESQUIMAU	o
Tagajō	N_ESQUIMAU	o
Tagaytay	N_GAY	i
Taitō	N_ESQUIMAU	o
Talisay	N_GAY	i
talk show	N_SHOW	u
Tanjay	N_GAY	i
Taubaté	N_ROSÉ	e
Tauragė	N_ROSÉ	e
Technití límni Thisavroú	N_KUNGFU	u
Tecnotree	N_JOCKEY	i
televisioshow	N_SHOW	u
Télimélé	N_BÉBÉ	e
Teplá	N_CHACHACHA	a
Teplice nad Metují	N_BRASSERIE	i
Teshie	N_BRIE	i
The Pirate Bay	N_GAY	i
Thunder Bay	N_GAY	i
Thymianá	N_CHACHACHA	a
Tiszacsernyő	N_MALMÖ	ö
Tolé	N_ROSÉ	e
Tonosí	N_BRASSERIE	i
Trachý	N_FONDUE	y
Trackway	N_GAY	i
Třemošná	N_CHACHACHA	a
Tría Nisiá	N_CHACHACHA	a
TripSay	N_GAY	i
Trstená	N_CHACHACHA	a
Trzcińsko-Zdrój	N_BEIGNET	i
Trzcinsko-Zdroj	N_VERSAILLES	i
Tsévié	N_BÉBÉ	e
Tubualá	N_CHACHACHA	a
Tusnádfürdő	N_MALMÖ	ö
Tycheró	N_ESQUIMAU	o
Týniště nad Orlicí	N_BRASSERIE	i
Újfehértó	N_ESQUIMAU	o
Ukmergė	N_ROSÉ	e
Unión Chocó	N_ESQUIMAU	o
Uruguay	N_GAY	i
Ústí nad Orlicí	N_BRASSERIE	i
Vadso	N_MALMÖ	ö
Vadsø	N_MALMÖ	ö
Valašské Meziříčí	N_BRIE	i
valoshow	N_SHOW	u
Varannó	N_ESQUIMAU	o
Vardo	N_MALMÖ	ö
Vardø	N_MALMÖ	ö
Vászló	N_ESQUIMAU	o
Vathý	N_FONDUE	y
Velké Meziříčí	N_BRIE	i
Verbó	N_ESQUIMAU	o
Versailles	N_VERSAILLES	i
Veselí nad Lužnicí	N_BRASSERIE	i
Viagogo	N_KUNGFU	u
Viamao	N_KUNGFU	u
Viamão	N_KUNGFU	u
Vila Nova de Famalicao	N_KUNGFU	u
Vila Nova de Famalicão	N_KUNGFU	u
Vila Nova de Santo André	N_ROSÉ	e
Villaguay	N_GAY	i
Ville-Marie	N_BRASSERIE	i
Vlychó	N_ESQUIMAU	o
Voss of Norway	N_GAY	i
Vrbové	N_ROSÉ	e
Vrchlabí	N_BRASSERIE	i
Vrontoú	N_KUNGFU	u
Vyssiniá	N_CHACHACHA	a
Vä	N_BÉBÉ	e
Walvis Bay	N_GAY	i
Wassluy	N_COWBOY	i
Wattrelos	N_BORDEAUX	o
Wayne´s Coffee	N_JOCKEY	i
Wesley	N_JOCKEY	i
Whitney	N_JOCKEY	i
Wicklow	N_SHOW	u
Xiró	N_ESQUIMAU	o
Xylaganí	N_BRASSERIE	i
Yaoundé	N_ROSÉ	e
Üllő	N_MALMÖ	ö
Žagarė	N_ROSÉ	e
Zahlé	N_ROSÉ	e
Ziniaré	N_ROSÉ	e
Ziway	N_GAY	i
Zsibó	N_ESQUIMAU	o
Zubří	N_BRASSERIE	i
Örebro	N_KUNGFU	u
