lemma	new_para	clitics
alentuvasti	PCLE_NOPEASTI	opt
alhaisesti	PCLE_NOPEASTI	opt
alituisesti	PCLE_NOPEASTI	opt
alkeellisesti	PCLE_NOPEASTI	opt
alkukantaisesti	PCLE_NOPEASTI	opt
alkuperäisesti	PCLE_TYHMÄSTI	opt
allegorisesti	PCLE_NOPEASTI	opt
aloittain	PCLE_NOPEASTI	opt
altruistisesti	PCLE_NOPEASTI	opt
alttiisti	PCLE_NOPEASTI	opt
alueellisesti	PCLE_NOPEASTI	opt
alueittain	PCLE_NOPEASTI	opt
alustavasti	PCLE_NOPEASTI	opt
ammateittain	PCLE_NOPEASTI	opt
ammatillisesti	PCLE_NOPEASTI	opt
ammattimaisesti	PCLE_NOPEASTI	opt
anakronistisesti	PCLE_NOPEASTI	opt
analgeettisesti	PCLE_NOPEASTI	opt
analogisesti	PCLE_NOPEASTI	opt
analyyttisesti	PCLE_TYHMÄSTI	opt
anarkistisesti	PCLE_NOPEASTI	opt
anatomisesti	PCLE_NOPEASTI	opt
andrologisesti	PCLE_NOPEASTI	opt
aneemisesti	PCLE_NOPEASTI	opt
anestesiologisesti	PCLE_NOPEASTI	opt
ankarasti	PCLE_NOPEASTI	opt
ankeasti	PCLE_NOPEASTI	opt
annoksittain	PCLE_NOPEASTI	opt
anomaalisesti	PCLE_NOPEASTI	opt
ansaitusti	PCLE_NOPEASTI	opt
ansiokkaasti	PCLE_NOPEASTI	opt
ansiottomasti	PCLE_NOPEASTI	opt
antaumuksellisesti	PCLE_NOPEASTI	opt
anteeksiantamattomasti	PCLE_NOPEASTI	opt
anteliaasti	PCLE_NOPEASTI	opt
antisemiittisesti	PCLE_TYHMÄSTI	opt
antoisasti	PCLE_NOPEASTI	opt
antropologisesti	PCLE_NOPEASTI	opt
apaattisesti	PCLE_NOPEASTI	opt
apeasti	PCLE_NOPEASTI	opt
apokryfisesti	PCLE_TYHMÄSTI	opt
apriorisesti	PCLE_NOPEASTI	opt
arasti	PCLE_NOPEASTI	opt
aristokraattisesti	PCLE_NOPEASTI	opt
arkaistisesti	PCLE_NOPEASTI	opt
arkeittain	PCLE_NOPEASTI	opt
arkeologisesti	PCLE_NOPEASTI	opt
arkisesti	PCLE_NOPEASTI	opt
arkittain	PCLE_NOPEASTI	opt
arkkitehtonisesti	PCLE_NOPEASTI	opt
armeliaasti	PCLE_NOPEASTI	opt
armollisesti	PCLE_NOPEASTI	opt
armottomasti	PCLE_NOPEASTI	opt
arrogantisti	PCLE_NOPEASTI	opt
arvaamattomasti	PCLE_NOPEASTI	opt
arvattavasti	PCLE_NOPEASTI	opt
arvelevasti	PCLE_NOPEASTI	opt
arveluttavasti	PCLE_NOPEASTI	opt
arvoituksellisesti	PCLE_NOPEASTI	opt
arvokkaasti	PCLE_NOPEASTI	opt
arvostelevasti	PCLE_NOPEASTI	opt
arvostelukyvyttömästi	PCLE_TYHMÄSTI	opt
arvottomasti	PCLE_NOPEASTI	opt
arvovaltaisesti	PCLE_NOPEASTI	opt
arvoväritteisesti	PCLE_TYHMÄSTI	opt
asenteellisesti	PCLE_NOPEASTI	opt
aseptisesti	PCLE_NOPEASTI	opt
asiallisesti	PCLE_NOPEASTI	opt
asianmukaisesti	PCLE_NOPEASTI	opt
asiantuntevasti	PCLE_NOPEASTI	opt
asiattomasti	PCLE_NOPEASTI	opt
askeettisesti	PCLE_NOPEASTI	opt
askelittain	PCLE_NOPEASTI	opt
askelmittain	PCLE_NOPEASTI	opt
asosiaalisesti	PCLE_NOPEASTI	opt
asteittain	PCLE_NOPEASTI	opt
asti	PCLE_NOPEASTI	opt
astioittain	PCLE_NOPEASTI	opt
astrologisesti	PCLE_NOPEASTI	opt
astronomisesti	PCLE_NOPEASTI	opt
asymmetrisesti	PCLE_TYHMÄSTI	opt
atavistisesti	PCLE_NOPEASTI	opt
ateistisesti	PCLE_NOPEASTI	opt
attraktiivisesti	PCLE_NOPEASTI	opt
auktoritatiivisesti	PCLE_NOPEASTI	opt
auliisti	PCLE_NOPEASTI	opt
aurinkoisesti	PCLE_NOPEASTI	opt
automaattisesti	PCLE_NOPEASTI	opt
autoritaarisesti	PCLE_NOPEASTI	opt
autoritäärisesti	PCLE_TYHMÄSTI	opt
auttamattomasti	PCLE_NOPEASTI	opt
auttavasti	PCLE_NOPEASTI	opt
autuaallisesti	PCLE_NOPEASTI	opt
autuaasti	PCLE_NOPEASTI	opt
avarakatseisesti	PCLE_NOPEASTI	opt
avaramielisesti	PCLE_TYHMÄSTI	opt
avoimesti	PCLE_NOPEASTI	opt
avokatseisesti	PCLE_NOPEASTI	opt
avokätisesti	PCLE_TYHMÄSTI	opt
avomielisesti	PCLE_NOPEASTI	opt
avonaisesti	PCLE_NOPEASTI	opt
avosydämisesti	PCLE_TYHMÄSTI	opt
avuliaasti	PCLE_NOPEASTI	opt
avuttomasti	PCLE_NOPEASTI	opt
bakteriologisesti	PCLE_NOPEASTI	opt
banaalisti	PCLE_NOPEASTI	opt
barbaarimaisesti	PCLE_NOPEASTI	opt
barbaarisesti	PCLE_NOPEASTI	opt
bilateraalisesti	PCLE_NOPEASTI	opt
biodynaamisesti	PCLE_NOPEASTI	opt
biokemiallisesti	PCLE_NOPEASTI	opt
biologisesti	PCLE_NOPEASTI	opt
bioteknisesti	PCLE_TYHMÄSTI	opt
bisarristi	PCLE_NOPEASTI	opt
biseksuaalisesti	PCLE_NOPEASTI	opt
botaanisesti	PCLE_NOPEASTI	opt
brežneviläisesti	PCLE_TYHMÄSTI	opt
byrokraattisesti	PCLE_NOPEASTI	opt
deduktiivisesti	PCLE_NOPEASTI	opt
defensiivisesti	PCLE_TYHMÄSTI	opt
definiittisesti	PCLE_TYHMÄSTI	opt
definitiivisesti	PCLE_TYHMÄSTI	opt
dekadentisti	PCLE_NOPEASTI	opt
dekoratiivisesti	PCLE_NOPEASTI	opt
demagogisesti	PCLE_NOPEASTI	opt
demografisesti	PCLE_NOPEASTI	opt
demokraattisesti	PCLE_NOPEASTI	opt
demonisesti	PCLE_NOPEASTI	opt
demonstratiivisesti	PCLE_NOPEASTI	opt
depressiivisesti	PCLE_TYHMÄSTI	opt
dermatologisesti	PCLE_NOPEASTI	opt
deskriptiivisesti	PCLE_TYHMÄSTI	opt
despoottisesti	PCLE_NOPEASTI	opt
deterministisesti	PCLE_TYHMÄSTI	opt
diagnostisesti	PCLE_NOPEASTI	opt
dialektisesti	PCLE_NOPEASTI	opt
didaktisesti	PCLE_NOPEASTI	opt
digitaalisesti	PCLE_NOPEASTI	opt
diktatorisesti	PCLE_NOPEASTI	opt
dogmaattisesti	PCLE_NOPEASTI	opt
dominantisti	PCLE_NOPEASTI	opt
dorkasti	PCLE_NOPEASTI	opt
draamallisesti	PCLE_NOPEASTI	opt
dramaattisesti	PCLE_NOPEASTI	opt
drastisesti	PCLE_NOPEASTI	opt
dualistisesti	PCLE_NOPEASTI	opt
dynaamisesti	PCLE_NOPEASTI	opt
edesvastuuttomasti	PCLE_NOPEASTI	opt
edistyksellisesti	PCLE_TYHMÄSTI	opt
edullisesti	PCLE_NOPEASTI	opt
edustavasti	PCLE_NOPEASTI	opt
eettisesti	PCLE_TYHMÄSTI	opt
efektiivisesti	PCLE_TYHMÄSTI	opt
egoistisesti	PCLE_NOPEASTI	opt
egosentrisesti	PCLE_TYHMÄSTI	opt
ehdollisesti	PCLE_NOPEASTI	opt
ehdottomasti	PCLE_NOPEASTI	opt
eheästi	PCLE_TYHMÄSTI	opt
ehjästi	PCLE_TYHMÄSTI	opt
-ehtoisesti	PCLE_NOPEASTI	opt
ei-leksikaalisesti	PCLE_NOPEASTI	opt
ekologisesti	PCLE_NOPEASTI	opt
ekonometrisesti	PCLE_NOPEASTI	opt
ekonomisesti	PCLE_NOPEASTI	opt
eksaktisti	PCLE_NOPEASTI	opt
eksentrisesti	PCLE_TYHMÄSTI	opt
eksoottisesti	PCLE_NOPEASTI	opt
ekspansiivisesti	PCLE_NOPEASTI	opt
eksplisiittisesti	PCLE_TYHMÄSTI	opt
eksponentiaalisesti	PCLE_NOPEASTI	opt
ekspressiivisesti	PCLE_TYHMÄSTI	opt
ekstaattisesti	PCLE_NOPEASTI	opt
ekumeenisesti	PCLE_NOPEASTI	opt
elastisesti	PCLE_NOPEASTI	opt
eleettömästi	PCLE_TYHMÄSTI	opt
elegantisti	PCLE_NOPEASTI	opt
elegisesti	PCLE_TYHMÄSTI	opt
-eleisesti	PCLE_TYHMÄSTI	opt
elektrolyyttisesti	PCLE_TYHMÄSTI	opt
elektronisesti	PCLE_NOPEASTI	opt
elementaarisesti	PCLE_NOPEASTI	opt
elimellisesti	PCLE_TYHMÄSTI	opt
eloisasti	PCLE_NOPEASTI	opt
elottomasti	PCLE_NOPEASTI	opt
eläimellisesti	PCLE_TYHMÄSTI	opt
elämyksellisesti	PCLE_TYHMÄSTI	opt
elämänkatsomuksellisesti	PCLE_NOPEASTI	opt
elämänkielteisesti	PCLE_TYHMÄSTI	opt
elämänläheisesti	PCLE_TYHMÄSTI	opt
elämänmyönteisesti	PCLE_TYHMÄSTI	opt
elävästi	PCLE_TYHMÄSTI	opt
embryologisesti	PCLE_NOPEASTI	opt
emotionaalisesti	PCLE_NOPEASTI	opt
empaattisesti	PCLE_NOPEASTI	opt
empiirisesti	PCLE_TYHMÄSTI	opt
emäksisesti	PCLE_TYHMÄSTI	opt
endeemisesti	PCLE_TYHMÄSTI	opt
endokrinologisesti	PCLE_NOPEASTI	opt
enenevästi	PCLE_TYHMÄSTI	opt
energisesti	PCLE_TYHMÄSTI	opt
ennakkoluuloisesti	PCLE_NOPEASTI	opt
ennakkoluulottomasti	PCLE_NOPEASTI	opt
ennen	PCLE_TYHMÄSTI	opt
ennenaikaisesti	PCLE_NOPEASTI	opt
ennenkuulumattomasti	PCLE_NOPEASTI	opt
ennennäkemättömästi	PCLE_TYHMÄSTI	opt
ennätyksellisesti	PCLE_TYHMÄSTI	opt
ennätysmäisesti	PCLE_TYHMÄSTI	opt
ensiluokkaisesti	PCLE_NOPEASTI	opt
ensin	PCLE_NÄKYVIIN	opt
ensisijaisesti	PCLE_NOPEASTI	opt
enteellisesti	PCLE_TYHMÄSTI	opt
epidemiologisesti	PCLE_NOPEASTI	opt
epäaidosti	PCLE_NOPEASTI	opt
epäasiallisesti	PCLE_NOPEASTI	opt
epädemokraattisesti	PCLE_NOPEASTI	opt
epäedullisesti	PCLE_NOPEASTI	opt
epäesteettisesti	PCLE_TYHMÄSTI	opt
epähavainnollisesti	PCLE_NOPEASTI	opt
epähienosti	PCLE_NOPEASTI	opt
epähistoriallisesti	PCLE_NOPEASTI	opt
epähygieenisesti	PCLE_TYHMÄSTI	opt
epäilevästi	PCLE_TYHMÄSTI	opt
epäilyttävästi	PCLE_TYHMÄSTI	opt
epäinhimillisesti	PCLE_TYHMÄSTI	opt
epäitsekkäästi	PCLE_TYHMÄSTI	opt
epäitsenäisesti	PCLE_TYHMÄSTI	opt
epäjohdonmukaisesti	PCLE_NOPEASTI	opt
epäjumalallisesti	PCLE_NOPEASTI	opt
epäkeskisesti	PCLE_TYHMÄSTI	opt
epäkiitollisesti	PCLE_NOPEASTI	opt
epäkohteliaasti	PCLE_NOPEASTI	opt
epäkriittisesti	PCLE_TYHMÄSTI	opt
epäkristillisesti	PCLE_TYHMÄSTI	opt
epäkunnioittavasti	PCLE_NOPEASTI	opt
epäkypsästi	PCLE_TYHMÄSTI	opt
epäkäytännöllisesti	PCLE_TYHMÄSTI	opt
epälojaalisesti	PCLE_NOPEASTI	opt
epälojaalisti	PCLE_NOPEASTI	opt
epäloogisesti	PCLE_NOPEASTI	opt
epäluonnollisesti	PCLE_NOPEASTI	opt
epäluotettavasti	PCLE_NOPEASTI	opt
epäluuloisesti	PCLE_NOPEASTI	opt
epämiehekkäästi	PCLE_TYHMÄSTI	opt
epämiellyttävästi	PCLE_TYHMÄSTI	opt
epämieluisasti	PCLE_NOPEASTI	opt
epämukavasti	PCLE_NOPEASTI	opt
epämuodollisesti	PCLE_NOPEASTI	opt
epämusikaalisesti	PCLE_NOPEASTI	opt
epämääräisesti	PCLE_TYHMÄSTI	opt
epänaisellisesti	PCLE_NOPEASTI	opt
epänormaalisti	PCLE_NOPEASTI	opt
epäoikeudenmukaisesti	PCLE_NOPEASTI	opt
epäolennaisesti	PCLE_NOPEASTI	opt
epäortodoksisesti	PCLE_NOPEASTI	opt
epäparlamentaarisesti	PCLE_NOPEASTI	opt
epäpoliittisesti	PCLE_NOPEASTI	opt
epäpuhtaasti	PCLE_NOPEASTI	opt
epäpätevästi	PCLE_TYHMÄSTI	opt
epärealistisesti	PCLE_NOPEASTI	opt
epärehellisesti	PCLE_TYHMÄSTI	opt
epäreilusti	PCLE_NOPEASTI	opt
epäselvästi	PCLE_TYHMÄSTI	opt
epäsiististi	PCLE_TYHMÄSTI	opt
epäsiveellisesti	PCLE_TYHMÄSTI	opt
epäsointuisesti	PCLE_NOPEASTI	opt
epäsopuisesti	PCLE_NOPEASTI	opt
epäsosiaalisesti	PCLE_NOPEASTI	opt
epäsovinnaisesti	PCLE_NOPEASTI	opt
epäsuhtaisesti	PCLE_NOPEASTI	opt
epäsuomalaisesti	PCLE_NOPEASTI	opt
epäsuopeasti	PCLE_NOPEASTI	opt
epäsuorasti	PCLE_NOPEASTI	opt
epäsuosiollisesti	PCLE_NOPEASTI	opt
epäsuotuisasti	PCLE_NOPEASTI	opt
epäsymmetrisesti	PCLE_TYHMÄSTI	opt
epäsäännöllisesti	PCLE_TYHMÄSTI	opt
epätaiteellisesti	PCLE_NOPEASTI	opt
epätaloudellisesti	PCLE_NOPEASTI	opt
epätarkasti	PCLE_NOPEASTI	opt
epätarkoituksenmukaisesti	PCLE_NOPEASTI	opt
epätasaisesti	PCLE_NOPEASTI	opt
epätavallisesti	PCLE_NOPEASTI	opt
epäterveellisesti	PCLE_TYHMÄSTI	opt
epäterveesti	PCLE_TYHMÄSTI	opt
epätieteellisesti	PCLE_TYHMÄSTI	opt
epätodennäköisesti	PCLE_TYHMÄSTI	opt
epätoivoisesti	PCLE_NOPEASTI	opt
epätyydyttävästi	PCLE_TYHMÄSTI	opt
epätäsmällisesti	PCLE_TYHMÄSTI	opt
epätäydellisesti	PCLE_TYHMÄSTI	opt
epäurheilijamaisesti	PCLE_NOPEASTI	opt
epäuskoisesti	PCLE_NOPEASTI	opt
epäuskottavasti	PCLE_NOPEASTI	opt
epävakaasti	PCLE_NOPEASTI	opt
epävakaisesti	PCLE_NOPEASTI	opt
epävarmasti	PCLE_NOPEASTI	opt
epäviihtyisästi	PCLE_TYHMÄSTI	opt
epäviisaasti	PCLE_NOPEASTI	opt
epävirallisesti	PCLE_NOPEASTI	opt
epävireisesti	PCLE_TYHMÄSTI	opt
epäyhtenäisesti	PCLE_TYHMÄSTI	opt
epäystävällisesti	PCLE_TYHMÄSTI	opt
epäämättömästi	PCLE_TYHMÄSTI	opt
ergonomisesti	PCLE_NOPEASTI	opt
erheellisesti	PCLE_TYHMÄSTI	opt
eriaikaisesti	PCLE_NOPEASTI	opt
eriasteisesti	PCLE_NOPEASTI	opt
erikoisesti	PCLE_NOPEASTI	opt
erikoislaatuisesti	PCLE_NOPEASTI	opt
erimielisesti	PCLE_TYHMÄSTI	opt
erimuotoisesti	PCLE_NOPEASTI	opt
erinomaisesti	PCLE_NOPEASTI	opt
eripuraisesti	PCLE_NOPEASTI	opt
eriskummallisesti	PCLE_NOPEASTI	opt
erisuuntaisesti	PCLE_NOPEASTI	opt
eritasoisesti	PCLE_NOPEASTI	opt
erittäin	PCLE_TYHMÄSTI	opt
erityisen	PCLE_NÄKYVIIN	opt
erityisesti	PCLE_TYHMÄSTI	opt
erityyppisesti	PCLE_TYHMÄSTI	opt
eriyttävästi	PCLE_TYHMÄSTI	opt
eroottisesti	PCLE_NOPEASTI	opt
erottamattomasti	PCLE_NOPEASTI	opt
esikuvallisesti	PCLE_NOPEASTI	opt
esimerkillisesti	PCLE_TYHMÄSTI	opt
esteettisesti	PCLE_TYHMÄSTI	opt
estottomasti	PCLE_NOPEASTI	opt
eteerisesti	PCLE_TYHMÄSTI	opt
etevästi	PCLE_TYHMÄSTI	opt
etiologisesti	PCLE_NOPEASTI	opt
etnisesti	PCLE_TYHMÄSTI	opt
etnografisesti	PCLE_NOPEASTI	opt
etnologisesti	PCLE_NOPEASTI	opt
etupainotteisesti	PCLE_NOPEASTI	opt
etymologisesti	PCLE_NOPEASTI	opt
etäisesti	PCLE_TYHMÄSTI	opt
eufemistisesti	PCLE_NOPEASTI	opt
euforisesti	PCLE_NOPEASTI	opt
faktisesti	PCLE_NOPEASTI	opt
fakultatiivisesti	PCLE_NOPEASTI	opt
falskisti	PCLE_NOPEASTI	opt
fanaattisesti	PCLE_NOPEASTI	opt
fantastisesti	PCLE_NOPEASTI	opt
farmakologisesti	PCLE_NOPEASTI	opt
fataalisesti	PCLE_NOPEASTI	opt
fataalisti	PCLE_NOPEASTI	opt
fatalistisesti	PCLE_NOPEASTI	opt
feminiinisesti	PCLE_TYHMÄSTI	opt
feministisesti	PCLE_TYHMÄSTI	opt
fennistisesti	PCLE_TYHMÄSTI	opt
fenomenaalisesti	PCLE_NOPEASTI	opt
fenomenologisesti	PCLE_NOPEASTI	opt
feodaalisesti	PCLE_NOPEASTI	opt
feodalistisesti	PCLE_NOPEASTI	opt
figuratiivisesti	PCLE_NOPEASTI	opt
fiksusti	PCLE_NOPEASTI	opt
fiktiivisesti	PCLE_TYHMÄSTI	opt
filantrooppisesti	PCLE_NOPEASTI	opt
filmaattisesti	PCLE_NOPEASTI	opt
filologisesti	PCLE_NOPEASTI	opt
filosofisesti	PCLE_NOPEASTI	opt
finaalisesti	PCLE_NOPEASTI	opt
flegmaattisesti	PCLE_NOPEASTI	opt
foneettisesti	PCLE_NOPEASTI	opt
foniatrisesti	PCLE_NOPEASTI	opt
fonologisesti	PCLE_NOPEASTI	opt
formaalisesti	PCLE_NOPEASTI	opt
formaalisti	PCLE_NOPEASTI	opt
formalistisesti	PCLE_NOPEASTI	opt
fragmentaarisesti	PCLE_NOPEASTI	opt
frontaalisesti	PCLE_NOPEASTI	opt
fundamentaalisesti	PCLE_NOPEASTI	opt
fundamentalistisesti	PCLE_NOPEASTI	opt
funktionaalisesti	PCLE_NOPEASTI	opt
funktionalistisesti	PCLE_NOPEASTI	opt
futurologisesti	PCLE_NOPEASTI	opt
fylogeneettisesti	PCLE_NOPEASTI	opt
fysiatrisesti	PCLE_NOPEASTI	opt
fysikaalisesti	PCLE_NOPEASTI	opt
fysiologisesti	PCLE_NOPEASTI	opt
fyysisesti	PCLE_TYHMÄSTI	opt
galvaanisesti	PCLE_NOPEASTI	opt
gastronomisesti	PCLE_NOPEASTI	opt
gemmologisesti	PCLE_NOPEASTI	opt
geneettisesti	PCLE_TYHMÄSTI	opt
geodeettisesti	PCLE_NOPEASTI	opt
geofysikaalisesti	PCLE_NOPEASTI	opt
geologisesti	PCLE_NOPEASTI	opt
geometrisesti	PCLE_NOPEASTI	opt
geomorfologisesti	PCLE_NOPEASTI	opt
geopoliittisesti	PCLE_NOPEASTI	opt
geriatrisesti	PCLE_NOPEASTI	opt
giganttisesti	PCLE_NOPEASTI	opt
globaalisesti	PCLE_NOPEASTI	opt
globaalisti	PCLE_NOPEASTI	opt
gnostisistisesti	PCLE_NOPEASTI	opt
graafisesti	PCLE_NOPEASTI	opt
grafologisesti	PCLE_NOPEASTI	opt
grammaattisesti	PCLE_NOPEASTI	opt
haaveellisesti	PCLE_NOPEASTI	opt
haikeasti	PCLE_NOPEASTI	opt
haitallisesti	PCLE_NOPEASTI	opt
haitattomasti	PCLE_NOPEASTI	opt
hajamielisesti	PCLE_TYHMÄSTI	opt
hajanaisesti	PCLE_NOPEASTI	opt
hajuttomasti	PCLE_NOPEASTI	opt
-hakuisesti	PCLE_NOPEASTI	opt
hallinnollisesti	PCLE_NOPEASTI	opt
hallitusti	PCLE_NOPEASTI	opt
halpamaisesti	PCLE_NOPEASTI	opt
halukkaasti	PCLE_NOPEASTI	opt
haluttomasti	PCLE_NOPEASTI	opt
halventavasti	PCLE_NOPEASTI	opt
hampaattomasti	PCLE_NOPEASTI	opt
hanakasti	PCLE_NOPEASTI	opt
hanttiin	PCLE_VALTAAN	opt
happamasti	PCLE_NOPEASTI	opt
happamesti	PCLE_NOPEASTI	opt
harkitsemattomasti	PCLE_NOPEASTI	opt
harkitusti	PCLE_NOPEASTI	opt
hartaasti	PCLE_NOPEASTI	opt
hassusti	PCLE_NOPEASTI	opt
hatarasti	PCLE_NOPEASTI	opt
haudanvakavasti	PCLE_NOPEASTI	opt
hauskasti	PCLE_NOPEASTI	opt
havainnollisesti	PCLE_NOPEASTI	opt
havaittavasti	PCLE_NOPEASTI	opt
hedelmällisesti	PCLE_TYHMÄSTI	opt
heikosti	PCLE_NOPEASTI	opt
hektisesti	PCLE_TYHMÄSTI	opt
hekumallisesti	PCLE_NOPEASTI	opt
helakasti	PCLE_NOPEASTI	opt
heleästi	PCLE_TYHMÄSTI	opt
helkkaristi	PCLE_NOPEASTI	opt
hellittämättömästi	PCLE_TYHMÄSTI	opt
helläkätisesti	PCLE_TYHMÄSTI	opt
hellästi	PCLE_TYHMÄSTI	opt
hellävaraisesti	PCLE_NOPEASTI	opt
helposti	PCLE_NOPEASTI	opt
helpottuneesti	PCLE_NOPEASTI	opt
helppotajuisesti	PCLE_NOPEASTI	opt
helteisesti	PCLE_TYHMÄSTI	opt
helvetisti	PCLE_TYHMÄSTI	opt
hemaisevasti	PCLE_NOPEASTI	opt
hemmetisti	PCLE_TYHMÄSTI	opt
hempeästi	PCLE_TYHMÄSTI	opt
hengenvaarallisesti	PCLE_NOPEASTI	opt
hengettömästi	PCLE_TYHMÄSTI	opt
henkevästi	PCLE_TYHMÄSTI	opt
henkilökohtaisesti	PCLE_NOPEASTI	opt
henkisesti	PCLE_TYHMÄSTI	opt
heppoisesti	PCLE_NOPEASTI	opt
hereästi	PCLE_TYHMÄSTI	opt
herkeämättömästi	PCLE_TYHMÄSTI	opt
herkullisesti	PCLE_NOPEASTI	opt
herkästi	PCLE_TYHMÄSTI	opt
hermeettisesti	PCLE_TYHMÄSTI	opt
hermostuneesti	PCLE_NOPEASTI	opt
herraskaisesti	PCLE_NOPEASTI	opt
herttaisesti	PCLE_NOPEASTI	opt
hervottomasti	PCLE_NOPEASTI	opt
hetkellisesti	PCLE_TYHMÄSTI	opt
hetkittäin	PCLE_TYHMÄSTI	opt
hevoskuormittain	PCLE_NOPEASTI	opt
hienoisesti	PCLE_NOPEASTI	opt
hienosti	PCLE_NOPEASTI	opt
hienostuneesti	PCLE_NOPEASTI	opt
hienotunteisesti	PCLE_NOPEASTI	opt
hienovaraisesti	PCLE_NOPEASTI	opt
hiipivästi	PCLE_TYHMÄSTI	opt
hiivatisti	PCLE_NOPEASTI	opt
hiljaisesti	PCLE_NOPEASTI	opt
hiljattain	PCLE_NOPEASTI	opt
hillittömästi	PCLE_TYHMÄSTI	opt
hillitysti	PCLE_TYHMÄSTI	opt
hilpeästi	PCLE_TYHMÄSTI	opt
himmeästi	PCLE_TYHMÄSTI	opt
himokkaasti	PCLE_NOPEASTI	opt
hirmuisesti	PCLE_NOPEASTI	opt
hirveästi	PCLE_TYHMÄSTI	opt
hirvittävästi	PCLE_TYHMÄSTI	opt
hitaasti	PCLE_NOPEASTI	opt
hitosti	PCLE_NOPEASTI	opt
hiuksenhienosti	PCLE_NOPEASTI	opt
hohdokkaasti	PCLE_NOPEASTI	opt
holtittomasti	PCLE_NOPEASTI	opt
huikeasti	PCLE_NOPEASTI	opt
huikentelevaisesti	PCLE_NOPEASTI	opt
huikentelevasti	PCLE_NOPEASTI	opt
huimaavasti	PCLE_NOPEASTI	opt
huimapäisesti	PCLE_TYHMÄSTI	opt
huimasti	PCLE_NOPEASTI	opt
hullunkurisesti	PCLE_NOPEASTI	opt
hullusti	PCLE_NOPEASTI	opt
humoristisesti	PCLE_NOPEASTI	opt
hunajaisesti	PCLE_NOPEASTI	opt
huolehtivaisesti	PCLE_NOPEASTI	opt
huolellisesti	PCLE_NOPEASTI	opt
huolettomasti	PCLE_NOPEASTI	opt
huolimattomasti	PCLE_NOPEASTI	opt
huomaamattomasti	PCLE_NOPEASTI	opt
huomaavaisesti	PCLE_NOPEASTI	opt
huomattavasti	PCLE_NOPEASTI	opt
huonosti	PCLE_NOPEASTI	opt
hupaisasti	PCLE_NOPEASTI	opt
hupsusti	PCLE_NOPEASTI	opt
hurjasti	PCLE_NOPEASTI	opt
hurmaavasti	PCLE_NOPEASTI	opt
hurskaasti	PCLE_NOPEASTI	opt
huumorintajuisesti	PCLE_NOPEASTI	opt
hydraulisesti	PCLE_NOPEASTI	opt
hygieenisesti	PCLE_TYHMÄSTI	opt
hyisesti	PCLE_TYHMÄSTI	opt
hypnoottisesti	PCLE_NOPEASTI	opt
